../ftp.ncbi.nlm.nih.gov/genbank/gbrod30.seq,23-NOV-2016,"Oecomys rutilus voucher TTU101025 alpha(1,3)fucosyltransferase (Fut4) gene, partial cds",1,Oecomys rutilus (red arboreal rice rat),KP778908,TTU101025,"Almendra,A.L., Rogers,D.S., Gonzolez-Cozatl,F.X. and Engstrom,M.D.",Molecular phylogenetics of the genus Handleyomys,Unpublished,"Almendra,A.L., Rogers,D.S., Gonzolez-Cozatl,F.X. and Engstrom,M.D.",Direct Submission,"Submitted (15-FEB-2015) Brigham Young university, 401 WIDB, Provo, UT 84602, USA"
../ftp.ncbi.nlm.nih.gov/genbank/gbrod30.seq,16-DEC-2015,"Holochilus chacarius voucher TK61102 cytochrome b (cytb) gene, partial cds; mitochondrial",1,mitochondrion Holochilus chacarius (Chaco marsh rat),KP970170,TK61102,"D'Elia,G., Hanson,J.D., Mauldin,M.R., Teta,P. and Pardinas,U.F.J.","Molecular systematics of South American marsh rats of the genus Holochilus (Muroidea, Cricetidae, Sigmodontinae)","J. Mammal. 96 (5), 1081-1094 (2015)","D'Elia,G., Hanson,J.D., Mauldin,M.R., Teta,P. and Pardinas,U.F.J.",Direct Submission,"Submitted (16-MAR-2015) Instituto de Ciencias Ambientales y Evolutivas, Universidad Austral de Chile, Valdivia, Chile"
../ftp.ncbi.nlm.nih.gov/genbank/gbrod30.seq,16-DEC-2015,"Holochilus chacarius voucher TK62280 cytochrome b (cytb) gene, partial cds; mitochondrial",1,mitochondrion Holochilus chacarius (Chaco marsh rat),KP970171,TK62280,"D'Elia,G., Hanson,J.D., Mauldin,M.R., Teta,P. and Pardinas,U.F.J.","Molecular systematics of South American marsh rats of the genus Holochilus (Muroidea, Cricetidae, Sigmodontinae)","J. Mammal. 96 (5), 1081-1094 (2015)","D'Elia,G., Hanson,J.D., Mauldin,M.R., Teta,P. and Pardinas,U.F.J.",Direct Submission,"Submitted (16-MAR-2015) Instituto de Ciencias Ambientales y Evolutivas, Universidad Austral de Chile, Valdivia, Chile"
../ftp.ncbi.nlm.nih.gov/genbank/gbrod30.seq,16-DEC-2015,"Holochilus chacarius voucher TK61045 cytochrome b (cytb) gene, partial cds; mitochondrial",1,mitochondrion Holochilus chacarius (Chaco marsh rat),KP970172,TK61045,"D'Elia,G., Hanson,J.D., Mauldin,M.R., Teta,P. and Pardinas,U.F.J.","Molecular systematics of South American marsh rats of the genus Holochilus (Muroidea, Cricetidae, Sigmodontinae)","J. Mammal. 96 (5), 1081-1094 (2015)","D'Elia,G., Hanson,J.D., Mauldin,M.R., Teta,P. and Pardinas,U.F.J.",Direct Submission,"Submitted (16-MAR-2015) Instituto de Ciencias Ambientales y Evolutivas, Universidad Austral de Chile, Valdivia, Chile"
../ftp.ncbi.nlm.nih.gov/genbank/gbrod30.seq,16-DEC-2015,"Holochilus chacarius voucher TK61096 cytochrome b (cytb) gene, partial cds; mitochondrial",1,mitochondrion Holochilus chacarius (Chaco marsh rat),KP970173,TK61096,"D'Elia,G., Hanson,J.D., Mauldin,M.R., Teta,P. and Pardinas,U.F.J.","Molecular systematics of South American marsh rats of the genus Holochilus (Muroidea, Cricetidae, Sigmodontinae)","J. Mammal. 96 (5), 1081-1094 (2015)","D'Elia,G., Hanson,J.D., Mauldin,M.R., Teta,P. and Pardinas,U.F.J.",Direct Submission,"Submitted (16-MAR-2015) Instituto de Ciencias Ambientales y Evolutivas, Universidad Austral de Chile, Valdivia, Chile"
../ftp.ncbi.nlm.nih.gov/genbank/gbrod30.seq,16-DEC-2015,"Holochilus chacarius voucher TK61650 cytochrome b (cytb) gene, partial cds; mitochondrial",1,mitochondrion Holochilus chacarius (Chaco marsh rat),KP970174,TK61650,"D'Elia,G., Hanson,J.D., Mauldin,M.R., Teta,P. and Pardinas,U.F.J.","Molecular systematics of South American marsh rats of the genus Holochilus (Muroidea, Cricetidae, Sigmodontinae)","J. Mammal. 96 (5), 1081-1094 (2015)","D'Elia,G., Hanson,J.D., Mauldin,M.R., Teta,P. and Pardinas,U.F.J.",Direct Submission,"Submitted (16-MAR-2015) Instituto de Ciencias Ambientales y Evolutivas, Universidad Austral de Chile, Valdivia, Chile"
../ftp.ncbi.nlm.nih.gov/genbank/gbrod30.seq,16-DEC-2015,"Holochilus chacarius voucher TK62277 cytochrome b (cytb) gene, partial cds; mitochondrial",1,mitochondrion Holochilus chacarius (Chaco marsh rat),KP970175,TK62277,"D'Elia,G., Hanson,J.D., Mauldin,M.R., Teta,P. and Pardinas,U.F.J.","Molecular systematics of South American marsh rats of the genus Holochilus (Muroidea, Cricetidae, Sigmodontinae)","J. Mammal. 96 (5), 1081-1094 (2015)","D'Elia,G., Hanson,J.D., Mauldin,M.R., Teta,P. and Pardinas,U.F.J.",Direct Submission,"Submitted (16-MAR-2015) Instituto de Ciencias Ambientales y Evolutivas, Universidad Austral de Chile, Valdivia, Chile"
../ftp.ncbi.nlm.nih.gov/genbank/gbrod30.seq,16-DEC-2015,"Holochilus chacarius voucher TK64350 cytochrome b (cytb) gene, partial cds; mitochondrial",1,mitochondrion Holochilus chacarius (Chaco marsh rat),KP970176,TK64350,"D'Elia,G., Hanson,J.D., Mauldin,M.R., Teta,P. and Pardinas,U.F.J.","Molecular systematics of South American marsh rats of the genus Holochilus (Muroidea, Cricetidae, Sigmodontinae)","J. Mammal. 96 (5), 1081-1094 (2015)","D'Elia,G., Hanson,J.D., Mauldin,M.R., Teta,P. and Pardinas,U.F.J.",Direct Submission,"Submitted (16-MAR-2015) Instituto de Ciencias Ambientales y Evolutivas, Universidad Austral de Chile, Valdivia, Chile"
../ftp.ncbi.nlm.nih.gov/genbank/gbrod30.seq,16-DEC-2015,"Holochilus chacarius voucher TK64396 cytochrome b (cytb) gene, partial cds; mitochondrial",1,mitochondrion Holochilus chacarius (Chaco marsh rat),KP970177,TK64396,"D'Elia,G., Hanson,J.D., Mauldin,M.R., Teta,P. and Pardinas,U.F.J.","Molecular systematics of South American marsh rats of the genus Holochilus (Muroidea, Cricetidae, Sigmodontinae)","J. Mammal. 96 (5), 1081-1094 (2015)","D'Elia,G., Hanson,J.D., Mauldin,M.R., Teta,P. and Pardinas,U.F.J.",Direct Submission,"Submitted (16-MAR-2015) Instituto de Ciencias Ambientales y Evolutivas, Universidad Austral de Chile, Valdivia, Chile"
../ftp.ncbi.nlm.nih.gov/genbank/gbrod30.seq,16-DEC-2015,"Holochilus chacarius voucher TK64412 cytochrome b (cytb) gene, partial cds; mitochondrial",1,mitochondrion Holochilus chacarius (Chaco marsh rat),KP970178,TK64412,"D'Elia,G., Hanson,J.D., Mauldin,M.R., Teta,P. and Pardinas,U.F.J.","Molecular systematics of South American marsh rats of the genus Holochilus (Muroidea, Cricetidae, Sigmodontinae)","J. Mammal. 96 (5), 1081-1094 (2015)","D'Elia,G., Hanson,J.D., Mauldin,M.R., Teta,P. and Pardinas,U.F.J.",Direct Submission,"Submitted (16-MAR-2015) Instituto de Ciencias Ambientales y Evolutivas, Universidad Austral de Chile, Valdivia, Chile"
../ftp.ncbi.nlm.nih.gov/genbank/gbrod30.seq,16-DEC-2015,"Holochilus chacarius voucher TK61649 cytochrome b (cytb) gene, partial cds; mitochondrial",1,mitochondrion Holochilus chacarius (Chaco marsh rat),KP970179,TK61649,"D'Elia,G., Hanson,J.D., Mauldin,M.R., Teta,P. and Pardinas,U.F.J.","Molecular systematics of South American marsh rats of the genus Holochilus (Muroidea, Cricetidae, Sigmodontinae)","J. Mammal. 96 (5), 1081-1094 (2015)","D'Elia,G., Hanson,J.D., Mauldin,M.R., Teta,P. and Pardinas,U.F.J.",Direct Submission,"Submitted (16-MAR-2015) Instituto de Ciencias Ambientales y Evolutivas, Universidad Austral de Chile, Valdivia, Chile"
../ftp.ncbi.nlm.nih.gov/genbank/gbrod30.seq,16-DEC-2015,"Holochilus chacarius voucher TK67332 cytochrome b (cytb) gene, partial cds; mitochondrial",1,mitochondrion Holochilus chacarius (Chaco marsh rat),KP970180,TK67332,"D'Elia,G., Hanson,J.D., Mauldin,M.R., Teta,P. and Pardinas,U.F.J.","Molecular systematics of South American marsh rats of the genus Holochilus (Muroidea, Cricetidae, Sigmodontinae)","J. Mammal. 96 (5), 1081-1094 (2015)","D'Elia,G., Hanson,J.D., Mauldin,M.R., Teta,P. and Pardinas,U.F.J.",Direct Submission,"Submitted (16-MAR-2015) Instituto de Ciencias Ambientales y Evolutivas, Universidad Austral de Chile, Valdivia, Chile"
../ftp.ncbi.nlm.nih.gov/genbank/gbrod30.seq,16-DEC-2015,"Holochilus chacarius voucher TK129670 cytochrome b (cytb) gene, partial cds; mitochondrial",1,mitochondrion Holochilus chacarius (Chaco marsh rat),KP970181,TK129670,"D'Elia,G., Hanson,J.D., Mauldin,M.R., Teta,P. and Pardinas,U.F.J.","Molecular systematics of South American marsh rats of the genus Holochilus (Muroidea, Cricetidae, Sigmodontinae)","J. Mammal. 96 (5), 1081-1094 (2015)","D'Elia,G., Hanson,J.D., Mauldin,M.R., Teta,P. and Pardinas,U.F.J.",Direct Submission,"Submitted (16-MAR-2015) Instituto de Ciencias Ambientales y Evolutivas, Universidad Austral de Chile, Valdivia, Chile"
../ftp.ncbi.nlm.nih.gov/genbank/gbrod30.seq,16-DEC-2015,"Holochilus sciureus voucher TK17512 alcohol dehydrogenase (Adh1) gene, intron 2",1,Holochilus sciureus (marsh rat),KP970190,TK17512,"D'Elia,G., Hanson,J.D., Mauldin,M.R., Teta,P. and Pardinas,U.F.J.","Molecular systematics of South American marsh rats of the genus Holochilus (Muroidea, Cricetidae, Sigmodontinae)","J. Mammal. 96 (5), 1081-1094 (2015)","D'Elia,G., Hanson,J.D., Mauldin,M.R., Teta,P. and Pardinas,U.F.J.",Direct Submission,"Submitted (16-MAR-2015) Instituto de Cs. Ambientales y Evolutivas, Universidad Austral de Chile, Valdivia, Chile"
../ftp.ncbi.nlm.nih.gov/genbank/gbrod30.seq,16-DEC-2015,"Cerradomys scotti voucher TK61811 beta-fibrinogen (Fgb) gene, intron 7",1,Cerradomys scotti (Lindbergh's Oryzomys),KP970191,TK61811,"D'Elia,G., Hanson,J.D., Mauldin,M.R., Teta,P. and Pardinas,U.F.J.","Molecular systematics of South American marsh rats of the genus Holochilus (Muroidea, Cricetidae, Sigmodontinae)","J. Mammal. 96 (5), 1081-1094 (2015)","D'Elia,G., Hanson,J.D., Mauldin,M.R., Teta,P. and Pardinas,U.F.J.",Direct Submission,"Submitted (16-MAR-2015) Instituto de Cs. Ambientales y Evolutivas, Universidad Austral de Chile, Valdivia, Chile"
../ftp.ncbi.nlm.nih.gov/genbank/gbrod30.seq,16-DEC-2015,"Melanomys chrysomelas voucher TK121417 beta-fibrinogen (Fgb) gene, intron 7",1,Melanomys chrysomelas,KP970194,TK121417,"D'Elia,G., Hanson,J.D., Mauldin,M.R., Teta,P. and Pardinas,U.F.J.","Molecular systematics of South American marsh rats of the genus Holochilus (Muroidea, Cricetidae, Sigmodontinae)","J. Mammal. 96 (5), 1081-1094 (2015)","D'Elia,G., Hanson,J.D., Mauldin,M.R., Teta,P. and Pardinas,U.F.J.",Direct Submission,"Submitted (16-MAR-2015) Instituto de Cs. Ambientales y Evolutivas, Universidad Austral de Chile, Valdivia, Chile"
../ftp.ncbi.nlm.nih.gov/genbank/gbrod30.seq,16-DEC-2015,"Nectomys squamipes voucher TK63841 beta-fibrinogen (Fgb) gene, intron 7",1,Nectomys squamipes (South American water rat),KP970195,TK63841,"D'Elia,G., Hanson,J.D., Mauldin,M.R., Teta,P. and Pardinas,U.F.J.","Molecular systematics of South American marsh rats of the genus Holochilus (Muroidea, Cricetidae, Sigmodontinae)","J. Mammal. 96 (5), 1081-1094 (2015)","D'Elia,G., Hanson,J.D., Mauldin,M.R., Teta,P. and Pardinas,U.F.J.",Direct Submission,"Submitted (16-MAR-2015) Instituto de Cs. Ambientales y Evolutivas, Universidad Austral de Chile, Valdivia, Chile"
../ftp.ncbi.nlm.nih.gov/genbank/gbrod30.seq,16-DEC-2015,"Oryzomys palustris voucher TK91240 beta-fibrinogen (Fgb) gene, intron 7",1,Oryzomys palustris (marsh rice rat),KP970197,TK91240,"D'Elia,G., Hanson,J.D., Mauldin,M.R., Teta,P. and Pardinas,U.F.J.","Molecular systematics of South American marsh rats of the genus Holochilus (Muroidea, Cricetidae, Sigmodontinae)","J. Mammal. 96 (5), 1081-1094 (2015)","D'Elia,G., Hanson,J.D., Mauldin,M.R., Teta,P. and Pardinas,U.F.J.",Direct Submission,"Submitted (16-MAR-2015) Instituto de Cs. Ambientales y Evolutivas, Universidad Austral de Chile, Valdivia, Chile"
../ftp.ncbi.nlm.nih.gov/genbank/gbrod30.seq,16-DEC-2015,"Pseudoryzomys simplex voucher TK62425 beta-fibrinogen (Fgb) gene, intron 7",1,Pseudoryzomys simplex (Brazilian false rice rat),KP970199,TK62425,"D'Elia,G., Hanson,J.D., Mauldin,M.R., Teta,P. and Pardinas,U.F.J.","Molecular systematics of South American marsh rats of the genus Holochilus (Muroidea, Cricetidae, Sigmodontinae)","J. Mammal. 96 (5), 1081-1094 (2015)","D'Elia,G., Hanson,J.D., Mauldin,M.R., Teta,P. and Pardinas,U.F.J.",Direct Submission,"Submitted (16-MAR-2015) Instituto de Cs. Ambientales y Evolutivas, Universidad Austral de Chile, Valdivia, Chile"
../ftp.ncbi.nlm.nih.gov/genbank/gbrod30.seq,16-DEC-2015,"Sooretamys angouya voucher TK61763 beta-fibrinogen (Fgb) gene, intron 7",1,Sooretamys angouya (Paraguayan rice rat),KP970200,TK61763,"D'Elia,G., Hanson,J.D., Mauldin,M.R., Teta,P. and Pardinas,U.F.J.","Molecular systematics of South American marsh rats of the genus Holochilus (Muroidea, Cricetidae, Sigmodontinae)","J. Mammal. 96 (5), 1081-1094 (2015)","D'Elia,G., Hanson,J.D., Mauldin,M.R., Teta,P. and Pardinas,U.F.J.",Direct Submission,"Submitted (16-MAR-2015) Instituto de Cs. Ambientales y Evolutivas, Universidad Austral de Chile, Valdivia, Chile"
../ftp.ncbi.nlm.nih.gov/genbank/gbrod30.seq,16-DEC-2015,"Holochilus sciureus voucher TK17515 beta-fibrinogen (Fgb) gene, intron 7",1,Holochilus sciureus (marsh rat),KP970206,TK17515,"D'Elia,G., Hanson,J.D., Mauldin,M.R., Teta,P. and Pardinas,U.F.J.","Molecular systematics of South American marsh rats of the genus Holochilus (Muroidea, Cricetidae, Sigmodontinae)","J. Mammal. 96 (5), 1081-1094 (2015)","D'Elia,G., Hanson,J.D., Mauldin,M.R., Teta,P. and Pardinas,U.F.J.",Direct Submission,"Submitted (16-MAR-2015) Instituto de Cs. Ambientales y Evolutivas, Universidad Austral de Chile, Valdivia, Chile"
../ftp.ncbi.nlm.nih.gov/genbank/gbrod30.seq,16-DEC-2015,"Holochilus sciureus voucher TK53509 beta-fibrinogen (Fgb) gene, intron 7",1,Holochilus sciureus (marsh rat),KP970208,TK53509,"D'Elia,G., Hanson,J.D., Mauldin,M.R., Teta,P. and Pardinas,U.F.J.","Molecular systematics of South American marsh rats of the genus Holochilus (Muroidea, Cricetidae, Sigmodontinae)","J. Mammal. 96 (5), 1081-1094 (2015)","D'Elia,G., Hanson,J.D., Mauldin,M.R., Teta,P. and Pardinas,U.F.J.",Direct Submission,"Submitted (16-MAR-2015) Instituto de Cs. Ambientales y Evolutivas, Universidad Austral de Chile, Valdivia, Chile"
../ftp.ncbi.nlm.nih.gov/genbank/gbrod30.seq,16-DEC-2015,"Holochilus sciureus voucher TK17512 beta-fibrinogen (Fgb) gene, intron 7",1,Holochilus sciureus (marsh rat),KP970209,TK17512,"D'Elia,G., Hanson,J.D., Mauldin,M.R., Teta,P. and Pardinas,U.F.J.","Molecular systematics of South American marsh rats of the genus Holochilus (Muroidea, Cricetidae, Sigmodontinae)","J. Mammal. 96 (5), 1081-1094 (2015)","D'Elia,G., Hanson,J.D., Mauldin,M.R., Teta,P. and Pardinas,U.F.J.",Direct Submission,"Submitted (16-MAR-2015) Instituto de Cs. Ambientales y Evolutivas, Universidad Austral de Chile, Valdivia, Chile"
../ftp.ncbi.nlm.nih.gov/genbank/gbrod30.seq,16-DEC-2015,"Holochilus sciureus voucher TK17512 interphotoreceptor retinoid binding protein (Rbp3) gene, exon 1 and partial cds",1,Holochilus sciureus (marsh rat),KP970218,TK17512,"D'Elia,G., Hanson,J.D., Mauldin,M.R., Teta,P. and Pardinas,U.F.J.","Molecular systematics of South American marsh rats of the genus Holochilus (Muroidea, Cricetidae, Sigmodontinae)","J. Mammal. 96 (5), 1081-1094 (2015)","D'Elia,G., Hanson,J.D., Mauldin,M.R., Teta,P. and Pardinas,U.F.J.",Direct Submission,"Submitted (16-MAR-2015) Instituto de Cs. Ambientales y Evoutivas, Universidad Austral de Chile, Valdivia, Chile"
../ftp.ncbi.nlm.nih.gov/genbank/gbrod30.seq,28-FEB-2016,"Reithrodontomys megalotis voucher TTU:TK23486 cytochrome b (cytb) gene, partial cds; mitochondrial",1,mitochondrion Reithrodontomys megalotis (western harvest mouse),KR611930,TK23486,"Nava,E., Guerrero,J.A. and Arellano,E.","Molecular phylogeography of harvest mice (Reithrodontomys megalotis), based on cytochrome b DNA sequences",Unpublished,"Nava,E., Guerrero,J.A. and Arellano,E.",Direct Submission,"Submitted (08-MAY-2015) CIByC-Departamento de Sistematica y Evolucion, Universidad Autonoma del Estado de Morelos, Av. Universidad No. 1001, Col. Chamilpa, Cuernavaca, Morelos 62209, Mexico"
../ftp.ncbi.nlm.nih.gov/genbank/gbrod30.seq,31-JAN-2017,"Sigmodon hispidus voucher TTU80759 alcohol dehydrogenase (Adh1) gene, intron 2",1,Sigmodon hispidus (hispid cotton rat),KT318181,TTU80759,"Keith,M.S., Bradley,R.D. and Platt,R.N.",Does phylogenetic evidence exist for the exclusion of isthmomys from peromyscus?,Unpublished,"Keith,M.S., Bradley,R.D. and Platt,R.N.",Direct Submission,"Submitted (20-JUL-2015) Department of Biological Sciences, Texas Tech University, Box 43131, Lubbock, TX 79409-3131, USA"
../ftp.ncbi.nlm.nih.gov/genbank/gbrod30.seq,31-JAN-2017,"Peromyscus schmidlyi voucher TTU81617 alcohol dehydrogenase (Adh1) gene, intron 2",1,Peromyscus schmidlyi,KT318182,TTU81617,"Keith,M.S., Bradley,R.D. and Platt,R.N.",Does phylogenetic evidence exist for the exclusion of isthmomys from peromyscus?,Unpublished,"Keith,M.S., Bradley,R.D. and Platt,R.N.",Direct Submission,"Submitted (20-JUL-2015) Department of Biological Sciences, Texas Tech University, Box 43131, Lubbock, TX 79409-3131, USA"
../ftp.ncbi.nlm.nih.gov/genbank/gbrod30.seq,31-JAN-2017,"Onychomys leucogaster voucher TTU60605 alcohol dehydrogenase (Adh1) gene, intron 2",1,Onychomys leucogaster (northern grasshopper mouse),KT318183,TTU60605,"Keith,M.S., Bradley,R.D. and Platt,R.N.",Does phylogenetic evidence exist for the exclusion of isthmomys from peromyscus?,Unpublished,"Keith,M.S., Bradley,R.D. and Platt,R.N.",Direct Submission,"Submitted (20-JUL-2015) Department of Biological Sciences, Texas Tech University, Box 43131, Lubbock, TX 79409-3131, USA"
../ftp.ncbi.nlm.nih.gov/genbank/gbrod30.seq,31-JAN-2017,"Holochilus sciureus voucher TTU75634 alcohol dehydrogenase (Adh1) gene, intron 2",1,Holochilus sciureus (marsh rat),KT361503,TTU75634,"Keith,M.S., Thompson,C.W. and Bradley,R.D.",Phylogenetic relationships and divergence of the subfamily Tylomyinae (Rodentia: Cricetidae) as determined by a multilocus dataset,Unpublished,"Keith,M.S., Thompson,C.W. and Bradley,R.D.",Direct Submission,"Submitted (31-JUL-2015) Department of Biological Sciences, Texas Tech University, Box 43131, Lubbock, TX 79409-3131, USA"
